#version DVT_OsloSpecs20190523,,,,,,,,
product,sku,test_mode,phase_name,,measurement_name,Typ,low_limit,high_limit
C2,,,oslo_test,,ele_Target_1.0_Angle_Boresight_snr_Rx0,,0,180
C2,,,oslo_test,,ele_Target_1.0_Angle_Boresight_snr_Rx1,,0,180
C2,,,oslo_test,,ele_Target_1.0_Angle_Boresight_snr_Rx2,,0,180
C2,,,oslo_test,,ele_Target_0.4_Angle_Boresight_snr_Rx0,,30,56
C2,,,oslo_test,,ele_Target_0.4_Angle_Boresight_snr_Rx1,,33,56
C2,,,oslo_test,,ele_Target_0.4_Angle_Boresight_snr_Rx2,,34,57
C2,,,oslo_test,,ele_Target_0.4_Angle_50_snr_Rx0,,23,63
C2,,,oslo_test,,ele_Target_0.4_Angle_50_snr_Rx1,,22,64
C2,,,oslo_test,,ele_Target_0.4_Angle_50_snr_Rx2,,25,65
C2,,,oslo_test,,ele_Target_0.4_Angle_-50_snr_Rx0,,24,62
C2,,,oslo_test,,ele_Target_0.4_Angle_-50_snr_Rx1,,29,65
C2,,,oslo_test,,ele_Target_0.4_Angle_-50_snr_Rx2,,27,64
C2,,,oslo_test,,azi_Target_0.4_Angle_50_snr_Rx0,,23,63
C2,,,oslo_test,,azi_Target_0.4_Angle_50_snr_Rx1,,22,64
C2,,,oslo_test,,azi_Target_0.4_Angle_50_snr_Rx2,,25,65
C2,,,oslo_test,,azi_Target_0.4_Angle_-50_snr_Rx0,,24,62
C2,,,oslo_test,,azi_Target_0.4_Angle_-50_snr_Rx1,,29,65
C2,,,oslo_test,,azi_Target_0.4_Angle_-50_snr_Rx2,,27,64
F2,,,oslo_test,,ele_Target_1.0_Angle_Boresight_snr_Rx0,,0,180
F2,,,oslo_test,,ele_Target_1.0_Angle_Boresight_snr_Rx1,,0,180
F2,,,oslo_test,,ele_Target_1.0_Angle_Boresight_snr_Rx2,,0,180
F2,,,oslo_test,,ele_Target_0.4_Angle_Boresight_snr_Rx0,,27,56
F2,,,oslo_test,,ele_Target_0.4_Angle_Boresight_snr_Rx1,,40,61
F2,,,oslo_test,,ele_Target_0.4_Angle_Boresight_snr_Rx2,,43,61
F2,,,oslo_test,,ele_Target_0.4_Angle_50_snr_Rx0,,12,41
F2,,,oslo_test,,ele_Target_0.4_Angle_50_snr_Rx1,,19,56
F2,,,oslo_test,,ele_Target_0.4_Angle_50_snr_Rx2,,31,51
F2,,,oslo_test,,ele_Target_0.4_Angle_-50_snr_Rx0,,9,44
F2,,,oslo_test,,ele_Target_0.4_Angle_-50_snr_Rx1,,26,50
F2,,,oslo_test,,ele_Target_0.4_Angle_-50_snr_Rx2,,27,51
F2,,,oslo_test,,azi_Target_0.4_Angle_50_snr_Rx0,,26,50
