SN,Time,TestTime,Result,Brightness,Uniformity,ImageQuality,PWM,CameraID,TestMode,FailureMessage,maxPWMBrightness,GlobalFactora,GlobalFactorb,GlobalFactorc,GridBlockMin,GridBlockMax,DarkNoise,Centerx,Centery,PWM20Perecent,PWM20BrightnessRaw,RetryCounter
HighLimit,,,,1430,100,100,4095,,,,,,,,,,,,,,,
LowLimit,,,,1330,30,30,100,,,,,,,,,,,,,,,
C07YX04JN4CL,Thu Nov  7 21:51:52 20,35,fail,1379.664925,79.949972,79.550088,915,50604451,Calibration,,5694.199746,0.000345,27.97,-74.89,41.152344,64.413043,1.951395,537,476,1232.805464,46.72661,1
C07YX04JN4CL,Thu Nov  7 21:52:28 20,22,fail,1381.376006,79.736467,79.271856,915,50604451,Calibration,,5696.656865,0.000345,27.97,-74.89,40.976562,64.66087,1.881259,549,480,1233.336943,46.74559,1
C07YX04JN4CL,Thu Nov  7 21:47:25 20,22,fail,1380.570678,79.962176,78.883746,915,50604451,Calibration,,5692.879876,0.000345,27.97,-74.89,40.753906,63.9,1.850664,543,459,1232.367707,46.710977,1
C07YX04JN4CL,Thu Nov  7 21:48:03 20,22,fail,1378.920818,77.219957,78.209069,924,50604451,Calibration,,5656.688528,0.000345,27.97,-74.89,40.472656,65.117188,1.837478,567,476,1223.727601,46.402425,1
C07YX04JN4CL,Thu Nov  7 21:48:55 20,36,fail,1380.232077,76.712381,77.540586,915,50604451,Calibration,,5672.731365,0.000345,27.97,-74.89,40.0625,64.996094,1.918555,551,465,1236.402192,46.855055,1
C07YX04JN4CL,Thu Nov  7 21:49:34 20,22,fail,1377.968869,74.13867,77.46389,920,50604451,Calibration,,5641.18305,0.000345,27.97,-74.89,40.085938,65.308594,1.869273,564,491,1227.997798,46.554921,1
C07YX04JN4CL,Thu Nov  7 21:50:24 20,30,fail,1382.126864,73.452933,77.500469,912,50604451,Calibration,,5648.219332,0.000345,27.97,-74.89,40.007812,65.730469,1.990893,555,468,1247.946408,47.267312,4
C07YX04JN4CL,Thu Nov  7 21:51:01 20,22,fail,1379.403166,77.832841,78.031067,915,50604451,Calibration,,5681.044652,0.000345,27.97,-74.89,40.285156,64.757812,1.832558,536,459,1231.134273,46.66693,1
C07YX04JN4CL,Thu Nov  7 21:51:52 20,35,fail,1379.664925,79.949972,79.550088,915,50604451,Calibration,,5694.199746,0.000345,27.97,-74.89,41.152344,64.413043,1.951395,537,476,1232.805464,46.72661,1
C07YX04JN4CL,Thu Nov  7 21:52:28 20,22,fail,1381.376006,79.736467,79.271856,915,50604451,Calibration,,5696.656865,0.000345,27.97,-74.89,40.976562,64.66087,1.881259,549,480,1233.336943,46.74559,1
C07Z3007N4CM,Thu Nov  7 21:53:49 20,22,fail,1378.863283,72.150104,70.33759,827,50604451,Calibration,,5922.718135,0.000345,27.97,-74.89,36.492188,67.011719,1.885278,659,498,1363.091713,51.37906,1
C07Z3007N4CM,Thu Nov  7 21:54:35 20,25,fail,1381.439743,75.742385,70.554916,828,50604451,Calibration,,5931.998074,0.000345,27.97,-74.89,36.71875,66.625,1.92082,669,521,1359.821287,51.262281,2
C07Z3007N4CM,Thu Nov  7 21:55:13 20,22,fail,1380.861699,76.290426,69.181726,830,50604451,Calibration,,5944.623573,0.000345,27.97,-74.89,35.984375,67.179688,1.85127,662,502,1363.789369,51.403971,1
C07Z3007N4CM,Thu Nov  7 21:55:52 20,22,fail,1381.814027,75.129431,69.777723,831,50604451,Calibration,,5928.689913,0.000345,27.97,-74.89,36.3125,67.511719,1.869243,662,502,1357.454437,51.177767,1
C07Z3007N4CM,Thu Nov  7 21:56:26 20,22,fail,1380.090168,77.210182,70.255967,830,50604451,Calibration,,5949.442234,0.000345,27.97,-74.89,36.457031,66.054688,1.828243,649,488,1362.723984,51.365929,1
C07Z3007N4CM,Thu Nov  7 21:57:03 20,22,fail,1379.444064,77.248212,70.657009,829,50604451,Calibration,,5952.554698,0.000345,27.97,-74.89,36.703125,66.191406,1.798517,656,484,1362.564491,51.360234,1
